Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Crushing grinding polishing mixing and blending workers,63738,4962.0,57099,4280.0,6639,1552.0,10.4,2.1,50067,2311,50893,2285,41344,3240,(X),(X),2022,0.013399039959493283,crushing grinding polishing mixing and blending workers,,,,,
Cutting workers,47959,4055.0,35512,3220.0,12447,2049.0,26.0,3.4,38294,1049,39666,1286,33708,2077,85,5.8,2022,0.0251209294134377,cutting workers,,,,,
Extruding forming pressing and compacting machine setters operators and tenders,21968,2626.0,17867,2315.0,4101,1253.0,18.7,5.0,44584,3369,48087,2460,32503,4044,(X),(X),2022,0.00827676801835848,extruding forming pressing and compacting machine setters operators and tenders,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",extruding forming pressing and compacting machine setters operators and tenders
Furnace kiln oven drier and kettle operators and tenders,9788,1821.0,7795,1655.0,1993,796.0,20.4,7.4,51371,6537,57159,14960,36413,8531,(X),(X),2022,0.004022335688999867,furnace kiln oven drier and kettle operators and tenders,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",furnace kiln oven drier and kettle operators and tenders
Inspectors testers sorters samplers and weighers,699757,17468.0,440509,12522.0,259248,10540.0,37.0,1.1,48725,889,55163,1127,40573,564,73.6,1.9,2022,0.5232225201715189,inspectors testers sorters samplers and weighers,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",inspectors testers sorters samplers and weighers
Jewelers and precious stone and metal workers,30095,3311.0,19291,2476.0,10804,1891.0,35.9,4.7,41976,3508,46905,6105,35888,5224,76.5,14.2,2022,0.021804974803790546,jewelers and precious stone and metal workers,51-9071.00,Jewelers and Precious Stone and Metal Workers,51-9071,Jewelers and Precious Stone and Metal Workers,jewelers and precious stone and metal workers
Jewelers and precious stone and metal workers,30095,3311.0,19291,2476.0,10804,1891.0,35.9,4.7,41976,3508,46905,6105,35888,5224,76.5,14.2,2022,0.021804974803790546,jewelers and precious stone and metal workers,51-9071.06,Gem and Diamond Workers,51-9071,Jewelers and Precious Stone and Metal Workers,jewelers and precious stone and metal workers
Dental and ophthalmic laboratory technicians and medical appliance technicians,67860,4290.0,29782,2569.0,38078,3428.0,56.1,3.1,42269,1624,50708,1796,37570,1768,74.1,4.6,2022,0.07685022497026439,dental and ophthalmic laboratory technicians and medical appliance technicians,,,,,
Packaging and filling machine operators and tenders,196347,8662.0,92667,5384.0,103680,6383.0,52.8,2.0,36241,562,40622,886,33571,1016,82.6,3,2022,0.209250258020826,packaging and filling machine operators and tenders,51-9111.00,Packaging and Filling Machine Operators and Tenders,51-9111,Packaging and Filling Machine Operators and Tenders,packaging and filling machine operators and tenders
Painting workers,116186,7149.0,105601,6794.0,10585,1791.0,9.1,1.5,45085,2422,45988,2851,41332,3030,89.9,8.5,2022,0.02136298207128128,painting workers,,,,,
Photographic process workers and processing machine operators,21653,2317.0,13800,1869.0,7853,1328.0,36.3,5.0,74414,8833,85451,4992,57232,7152,(X),(X),2022,0.015849173189019544,photographic process workers and processing machine operators,51-9151.00,Photographic Process Workers and Processing Machine Operators,51-9151,Photographic Process Workers and Processing Machine Operators,photographic process workers and processing machine operators
Adhesive bonding machine operators and tenders,9222,1620.0,6466,1217.0,2756,1090.0,29.9,9.4,43641,3760,45423,2601,36524,8992,(X),(X),2022,0.005562246441988777,adhesive bonding machine operators and tenders,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9191,Adhesive Bonding Machine Operators and Tenders,adhesive bonding machine operators and tenders
Etchers and engravers,5827,1951.0,3707,1225.0,2120,1120.0,36.4,11.8,48060,4732,50187,11169,47922,6125,(X),(X),2022,0.004278651109222136,etchers and engravers,51-9194.00,Etchers and Engravers,51-9194,Etchers and Engravers,etchers and engravers
Molders shapers and casters except metal and plastic,20795,2465.0,17961,2245.0,2834,762.0,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719668511101667,molders shapers and casters except metal and plastic,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic
Molders shapers and casters except metal and plastic,20795,2465.0,17961,2245.0,2834,762.0,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719668511101667,molders shapers and casters except metal and plastic,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic
Molders shapers and casters except metal and plastic,20795,2465.0,17961,2245.0,2834,762.0,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719668511101667,molders shapers and casters except metal and plastic,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic
Molders shapers and casters except metal and plastic,20795,2465.0,17961,2245.0,2834,762.0,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719668511101667,molders shapers and casters except metal and plastic,51-9195.05,"Potters, Manufacturing",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic
Paper goods machine setters operators and tenders,16603,2568.0,13865,2275.0,2738,1179.0,16.5,6.4,47270,7161,50297,5176,32048,11605,(X),(X),2022,0.005525918272193495,paper goods machine setters operators and tenders,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",paper goods machine setters operators and tenders
Tire builders,12077,2378.0,11423,2367.0,654,388.0,5.4,3.3,52417,3519,52318,3343,57568,11983,(X),(X),2022,0.001319923502561923,tire builders,51-9197.00,Tire Builders,51-9197,Tire Builders,tire builders
Helpersproduction workers,39353,3888.0,28822,3085.0,10531,2187.0,26.8,4.5,33553,1545,34594,2339,31652,2216,91.5,8.7,2022,0.02125399756189543,helpersproduction workers,51-9198.00,Helpers--Production Workers,51-9198,Helpers--Production Workers,helpersproduction workers
Other production equipment operators and tenders,7919,1876.0,7150,1816.0,769,487.0,9.7,6.0,46932,7885,49250,8157,36584,11382,(X),(X),2022,0.0015520201429206708,chemical equipment operators and tenders,51-9011.00,Chemical Equipment Operators and Tenders,51-9011,Chemical Equipment Operators and Tenders,chemical equipment operators and tenders
Other production equipment operators and tenders,7919,1876.0,7150,1816.0,769,487.0,9.7,6.0,46932,7885,49250,8157,36584,11382,(X),(X),2022,0.0015520201429206708,cooling and freezing equipment operators and tenders,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders,cooling and freezing equipment operators and tenders
Other production workers,1132472,20931.0,807555,17817.0,324917,11472.0,28.7,0.9,41502,258,44766,554,35137,658,78.5,1.9,2022,0.6557577747429852,other production workers,,,,,
Transportation and Material Moving Occupations,8331203,57130.0,6823161,51856.0,1508042,22805.0,18.1,0.2,42070,127,44860,252,33560,367,74.8,1,2022,3.0435781019120607,transportation and material moving occupations,,,,,
Transportation Occupations,4340588,40026.0,3853734,37460.0,486854,12495.0,11.2,0.3,51768,212,53242,294,38252,881,71.8,1.7,2022,0.9825841543062424,transportation occupations,,,,,
Supervisors of transportation and material moving workers,285052,9738.0,213950,8711.0,71102,4130.0,24.9,1.3,54626,1262,59654,1725,42902,1908,71.9,3.8,2022,0.14350030715467563,supervisors of transportation and material moving workers,,,,,
Aircraft pilots and flight engineers,111069,6318.0,104863,5974.0,6206,1261.0,5.6,1.1,128652,5403,131647,7583,94593,27673,(X),(X),2022,0.012525145652751216,aircraft pilots and flight engineers,,,,,
Air traffic controllers and airfield operations specialists,29350,3246.0,23364,2667.0,5986,1551.0,20.4,4.3,110239,8465,114451,11467,102283,6599,(X),(X),2022,0.012081134688586653,air traffic controllers and airfield operations specialists,,,,,
Flight attendants,54758,4401.0,15743,2350.0,39015,4003.0,71.2,3.9,53980,2833,60226,4349,51583,2978,85.6,7.4,2022,0.07874130803127435,flight attendants,53-2031.00,Flight Attendants,53-2031,Flight Attendants,flight attendants
Ambulance drivers and attendants except emergency medical technicians,5989,1473.0,4103,1357.0,1886,935.0,31.5,14.1,40411,5144,41829,2866,31395,8820,(X),(X),2022,0.0038063849018834667,ambulance drivers and attendants except emergency medical technicians,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",ambulance drivers and attendants except emergency medical technicians
Bus drivers school,108128,6343.0,52067,4582.0,56061,4219.0,51.8,2.8,35095,1101,38930,1775,32168,885,82.6,4.5,2022,0.11314408482740669,bus drivers school,53-3051.00,"Bus Drivers, School",53-3051,"Bus Drivers, School",bus drivers school
Bus drivers transit and intercity,153426,7046.0,108057,5858.0,45369,3612.0,29.6,1.9,50381,1042,53593,1306,40121,2243,74.9,4.6,2022,0.09156515196900901,bus drivers transit and intercity,53-3052.00,"Bus Drivers, Transit and Intercity",53-3052,"Bus Drivers, Transit and Intercity",bus drivers transit and intercity
Driversales workers and truck drivers,2910524,34364.0,2744927,33226.0,165597,8528.0,5.7,0.3,52583,324,53448,339,37058,1207,69.3,2.3,2022,0.33421310742163113,driversales workers and truck drivers,,,,,
Shuttle drivers and chauffeurs,39410,4012.0,34135,3664.0,5275,1180.0,13.4,2.7,40367,2260,40879,2377,35817,8286,(X),(X),2022,0.010646171981673003,shuttle drivers and chauffeurs,53-3053.00,Shuttle Drivers and Chauffeurs,53-3053,Shuttle Drivers and Chauffeurs,shuttle drivers and chauffeurs
Taxi drivers,226317,10144.0,199158,8445.0,27159,4067.0,12.0,1.5,37612,1512,39361,1565,26698,1875,67.8,5.1,2022,0.05481315352611509,taxi drivers,53-3054.00,Taxi Drivers,53-3054,Taxi Drivers,taxi drivers
Motor vehicle operators all other,84738,5541.0,68130,5033.0,16608,2801.0,19.6,3.0,36621,1289,37660,2066,33197,2349,88.1,8.5,2022,0.03351879133111379,motor vehicle operators all other,53-3099.00,"Motor Vehicle Operators, All Other",53-3099,"Motor Vehicle Operators, All Other",motor vehicle operators all other
Locomotive engineers and operators,41554,3434.0,40453,3285.0,1101,743.0,2.6,1.7,88959,6310,90034,6519,58599,49807,(X),(X),2022,0.0022220730524780997,locomotive engineers and operators,,,,,
Railroad conductors and yardmasters,38772,3298.0,35217,2943.0,3555,1481.0,9.2,3.5,79756,4253,81097,3334,52058,11403,(X),(X),2022,0.007174813534568251,railroad conductors and yardmasters,53-4031.00,Railroad Conductors and Yardmasters,53-4031,Railroad Conductors and Yardmasters,railroad conductors and yardmasters
Other rail transportation workers,19935,3532.0,17894,3262.0,2041,1046.0,10.2,4.8,74152,3722,73664,2261,82202,15008,(X),(X),2022,0.004119210808453953,other rail transportation workers,,,,,
Sailors and marine oilers,15453,2330.0,14119,2196.0,1334,643.0,8.6,3.9,55620,9075,54843,10268,58512,9920,(X),(X),2022,0.0026923210281614763,sailors and marine oilers,53-5011.00,Sailors and Marine Oilers,53-5011,Sailors and Marine Oilers,sailors and marine oilers
Ship and boat captains and operators,24878,3409.0,23125,3306.0,1753,802.0,7.0,3.2,81238,3904,81264,3724,80712,37209,(X),(X),2022,0.003537960091729436,ship and boat captains and operators,,,,,
Ship engineers,2019,731.0,1942,732.0,77,83.0,3.8,4.4,66195,14272,66009,14871,81250,74631,(X),(X),2022,0.00015540383745759646,ship engineers,53-5031.00,Ship Engineers,53-5031,Ship Engineers,ship engineers
Parking attendants,34963,3678.0,31770,3459.0,3193,1184.0,9.1,3.2,32249,1307,32787,1664,27471,3459,(X),(X),2022,0.006444213675352019,parking attendants,53-6021.00,Parking Attendants,53-6021,Parking Attendants,parking attendants
Transportation service attendants,65101,4995.0,53534,4598.0,11567,2095.0,17.8,3.0,32168,1036,33972,2005,27005,4954,79.5,15.2,2022,0.023344885556779455,transportation service attendants,,,,,
Transportation inspectors,40054,3514.0,34424,3336.0,5630,1443.0,14.1,3.4,68704,5348,73098,5749,50419,14251,(X),(X),2022,0.011362644219302182,transportation inspectors,53-6051.00,Transportation Inspectors,53-6051,Transportation Inspectors,transportation inspectors
Transportation inspectors,40054,3514.0,34424,3336.0,5630,1443.0,14.1,3.4,68704,5348,73098,5749,50419,14251,(X),(X),2022,0.011362644219302182,transportation inspectors,53-6051.01,Aviation Inspectors,53-6051,Transportation Inspectors,transportation inspectors
Transportation inspectors,40054,3514.0,34424,3336.0,5630,1443.0,14.1,3.4,68704,5348,73098,5749,50419,14251,(X),(X),2022,0.011362644219302182,transportation inspectors,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",53-6051,Transportation Inspectors,transportation inspectors
Passenger attendants,15394,2401.0,6719,1468.0,8675,1934.0,56.4,7.8,31669,2132,37392,23450,30808,1600,(X),(X),2022,0.017508159609670768,passenger attendants,53-6061.00,Passenger Attendants,53-6061,Passenger Attendants,passenger attendants
Other transportation workers,33704,3263.0,26040,2778.0,7664,1475.0,22.7,3.7,55678,4957,61763,3984,48113,5355,77.9,10.4,2022,0.01546772740616908,other transportation workers,,,,,
Material Moving Occupations,3990615,40884.0,2969427,35647.0,1021188,20029.0,25.6,0.4,36154,180,37573,293,32174,205,85.6,0.8,2022,2.060993947605818,material moving occupations,,,,,
Crane and tower operators,56063,4998.0,55158,4839.0,905,584.0,1.6,1.0,70881,3606,71364,2963,48781,1188,(X),(X),2022,0.0018264996480405816,crane and tower operators,53-7021.00,Crane and Tower Operators,53-7021,Crane and Tower Operators,crane and tower operators
Conveyor dredge and hoist and winch operators,20120,2458.0,19304,2357.0,816,464.0,4.1,2.2,55735,5941,57880,6063,28992,12601,(X),(X),2022,0.0016468770307194636,hoist and winch operators,53-7041.00,Hoist and Winch Operators,53-7041,Hoist and Winch Operators,hoist and winch operators
Industrial truck and tractor operators,560111,14175.0,508558,13882.0,51553,3762.0,9.2,0.7,40729,333,40906,354,37411,1920,91.5,4.8,2022,0.10404589652534377,industrial truck and tractor operators,53-7051.00,Industrial Truck and Tractor Operators,53-7051,Industrial Truck and Tractor Operators,industrial truck and tractor operators
Cleaners of vehicles and equipment,220669,8976.0,181122,8185.0,39547,4138.0,17.9,1.7,32399,620,32955,1216,30598,1699,92.8,6.6,2022,0.07981500727189048,cleaners of vehicles and equipment,53-7061.00,Cleaners of Vehicles and Equipment,53-7061,Cleaners of Vehicles and Equipment,cleaners of vehicles and equipment
Laborers and freight stock and material movers hand,1612118,27182.0,1256445,23802.0,355673,11284.0,22.1,0.6,36862,264,38274,516,32812,726,85.7,2.2,2022,0.7178305075331909,laborers and freight stock and material movers hand,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",laborers and freight stock and material movers hand
